player_name,season,height_inches,weight,forty,bench,vertical,broad_jump,cone,shuttle,bmi,size_score,speed_score,burst_score,agility_score,pos,pos_group,conf_tier,is_skill,is_blue_blood,is_sec,age_at_draft,era,draft_ovr,draft_round,is_first_round,is_drafted
Laveranues Coles,2000,71.0,192.0,4.41,,34.0,115.0,6.89,4.39,26.775639754017064,13632.0,101.52590430430308,43.583333333333336,11.28,WR,Skill,Power Five,1,0,0,22.0,2000-2005,78.0,3,0,1
Chris Combs,2000,77.0,286.0,5.16,22.0,,,,,33.91094619666048,22022.0,80.68582097410722,,,DT,DL,Power Five,0,0,0,23.0,2000-2005,173.0,6,0,1
Kurth Connell,2000,76.0,291.0,5.49,27.0,33.0,103.0,8.14,4.84,35.41776315789473,22116.0,64.06688473495964,41.583333333333336,12.98,OT,OL,Power Five,0,0,0,,2000-2005,,8,0,0
Rameel Connor,2000,75.0,276.0,5.0,25.0,35.5,121.0,7.65,4.45,34.49386666666667,20700.0,88.32,45.583333333333336,12.100000000000001,DE,Edge,Power Five,0,0,0,,2000-2005,,8,0,0
D.J. Cooper,2000,75.0,277.0,5.22,,28.0,108.0,7.41,4.49,34.61884444444444,20775.0,74.61527650682105,37.0,11.9,DT,DL,Power Five,0,0,1,,2000-2005,,8,0,0
Ashley Cooper,2000,70.0,208.0,4.67,16.0,,117.0,,,29.841632653061225,14560.0,87.46328974219607,,,S,DB,Power Five,0,0,1,,2000-2005,,8,0,0
Renard Cox,2000,71.0,192.0,4.68,13.0,38.0,111.0,7.1,,26.775639754017064,13632.0,80.04750723497389,47.25,7.1,CB,DB,Power Five,0,0,0,,2000-2005,,8,0,0
Casey Crawford,2000,78.0,244.0,4.83,18.0,,,,,28.1939513477975,19032.0,89.66672317906382,,,TE,Skill,Power Five,1,0,0,,2000-2005,,8,0,0
Sedrick Curry,2000,73.0,197.0,4.44,,39.0,125.0,6.34,3.94,25.988177894539312,14381.0,101.38281398950392,49.416666666666664,10.28,CB,DB,Power Five,0,0,1,,2000-2005,,8,0,0
Chris Daniels,2000,75.0,217.0,4.74,,33.0,115.0,7.2,4.24,27.12017777777778,16275.0,85.9758271644869,42.583333333333336,11.440000000000001,WR,Skill,Power Five,1,0,0,,2000-2005,,8,0,0
Brandon Daniels,2000,70.0,211.0,4.54,,,,,,30.272040816326534,14770.0,99.33196790411364,,,WR,Skill,Power Five,1,1,0,,2000-2005,,8,0,0
